Date,Event,Opponent,Map,Result,W/L
28/08/19,StarLadder Major Berlin 2019,FaZe,Mirage,8 - 16,L
24/08/19,StarLadder Major 2019 Challengers Stage,G2,Vertigo,16 - 7,W
24/08/19,StarLadder Major 2019 Challengers Stage,G2,Dust2,16 - 13,W
24/08/19,StarLadder Major 2019 Challengers Stage,G2,Train,5 - 16,L
23/08/19,StarLadder Major 2019 Challengers Stage,AVANGAR,Inferno,19 - 17,W
23/08/19,StarLadder Major 2019 Challengers Stage,FORZE,Inferno,16 - 6,W
20/07/19,Europe Minor - StarLadder Major 2019,North,Mirage,16 - 7,W
20/07/19,Europe Minor - StarLadder Major 2019,North,Inferno,16 - 11,W
19/07/19,Europe Minor - StarLadder Major 2019,fnatic,Inferno,16 - 8,W
19/07/19,Europe Minor - StarLadder Major 2019,fnatic,Dust2,16 - 13,W
18/07/19,Europe Minor - StarLadder Major 2019,NoChance,Nuke,16 - 11,W
18/07/19,Europe Minor - StarLadder Major 2019,NoChance,Vertigo,6 - 16,L
18/07/19,Europe Minor - StarLadder Major 2019,NoChance,Mirage,16 - 2,W
18/07/19,Europe Minor - StarLadder Major 2019,Sprout,Mirage,16 - 9,W
18/07/19,Europe Minor - StarLadder Major 2019,Sprout,Dust2,16 - 12,W
18/07/19,Europe Minor - StarLadder Major 2019,Sprout,Train,13 - 16,L
17/07/19,Europe Minor - StarLadder Major 2019,NoChance,Inferno,14 - 16,L
09/07/19,ESL One New York 2019 Europe Closed Qualifier,CR4ZY,Nuke,9 - 16,L
09/07/19,ESL One New York 2019 Europe Closed Qualifier,CR4ZY,Train,16 - 13,W
09/07/19,ESL One New York 2019 Europe Closed Qualifier,CR4ZY,Mirage,14 - 16,L
04/07/19,ESL One Cologne 2019,Natus Vincere,Train,9 - 16,L
04/07/19,ESL One Cologne 2019,Natus Vincere,Dust2,16 - 8,W
04/07/19,ESL One Cologne 2019,Natus Vincere,Inferno,19 - 22,L
03/07/19,ESL One Cologne 2019,FaZe,Mirage,16 - 8,W
03/07/19,ESL One Cologne 2019,FaZe,Inferno,19 - 15,W
02/07/19,ESL One Cologne 2019,MVP PK,Inferno,16 - 6,W
02/07/19,ESL One Cologne 2019,MVP PK,Vertigo,16 - 8,W
02/07/19,ESL One Cologne 2019,Natus Vincere,Train,14 - 16,L
22/06/19,ESL Pro League Season 9 Finals,Liquid,Nuke,17 - 19,L
22/06/19,ESL Pro League Season 9 Finals,Liquid,Overpass,8 - 16,L
20/06/19,ESL Pro League Season 9 Finals,FaZe,Vertigo,16 - 8,W
20/06/19,ESL Pro League Season 9 Finals,FaZe,Train,16 - 12,W
19/06/19,ESL Pro League Season 9 Finals,HellRaisers,Nuke,16 - 8,W
19/06/19,ESL Pro League Season 9 Finals,HellRaisers,Mirage,16 - 5,W
18/06/19,ESL Pro League Season 9 Finals,MIBR,Inferno,16 - 8,W
11/06/19,Europe Minor Closed Qualifier - StarLadder Major 2019,OpTic,Inferno,16 - 4,W
11/06/19,Europe Minor Closed Qualifier - StarLadder Major 2019,OpTic,Nuke,16 - 8,W
11/06/19,Europe Minor Closed Qualifier - StarLadder Major 2019,OpTic,Mirage,8 - 16,L
10/06/19,Europe Minor Closed Qualifier - StarLadder Major 2019,Virtus.pro,Train,16 - 12,W
10/06/19,Europe Minor Closed Qualifier - StarLadder Major 2019,Virtus.pro,Nuke,16 - 6,W
21/05/19,ECS Season 7 Europe Week 5,AVANGAR,Mirage,9 - 16,L
21/05/19,ECS Season 7 Europe Week 5,AVANGAR,Inferno,8 - 16,L
21/05/19,ECS Season 7 Europe Week 5,AVANGAR,Train,16 - 14,W
19/05/19,DreamHack Open Tours 2019,Valiance,Mirage,16 - 11,W
19/05/19,DreamHack Open Tours 2019,Valiance,Train,16 - 12,W
19/05/19,DreamHack Open Tours 2019,AVANGAR,Dust2,16 - 7,W
19/05/19,DreamHack Open Tours 2019,AVANGAR,Train,16 - 8,W
18/05/19,DreamHack Open Tours 2019,Windigo,Nuke,16 - 6,W
18/05/19,DreamHack Open Tours 2019,Windigo,Overpass,16 - 11,W
17/05/19,DreamHack Open Tours 2019,Valiance,Dust2,6 - 16,L
17/05/19,DreamHack Open Tours 2019,Instinct,Inferno,16 - 4,W
15/05/19,ECS Season 7 Europe Week 4,Ninjas in Pyjamas,Inferno,7 - 16,L
15/05/19,ECS Season 7 Europe Week 4,Ninjas in Pyjamas,Nuke,13 - 16,L
13/05/19,ECS Season 7 Europe Week 4,G2,Dust2,16 - 7,W
13/05/19,ECS Season 7 Europe Week 4,G2,Train,16 - 9,W
03/05/19,IEM Sydney 2019,MIBR,Overpass,10 - 16,L
03/05/19,IEM Sydney 2019,MIBR,Mirage,19 - 22,L
02/05/19,IEM Sydney 2019,BIG,Inferno,16 - 4,W
02/05/19,IEM Sydney 2019,BIG,Mirage,16 - 2,W
01/05/19,IEM Sydney 2019,Renegades,Inferno,16 - 7,W
01/05/19,IEM Sydney 2019,Renegades,Train,16 - 12,W
30/04/19,IEM Sydney 2019,BOOT-d[S],Train,16 - 6,W
30/04/19,IEM Sydney 2019,BOOT-d[S],Mirage,16 - 2,W
30/04/19,IEM Sydney 2019,BIG,Inferno,14 - 16,L
14/04/19,ESL Pro League Season 9 Europe,North,Mirage,16 - 5,W
14/04/19,ESL Pro League Season 9 Europe,North,Train,16 - 4,W
13/04/19,ESL Pro League Season 9 Europe,OpTic,Train,16 - 11,W
13/04/19,ESL Pro League Season 9 Europe,OpTic,Dust2,4 - 16,L
13/04/19,ESL Pro League Season 9 Europe,OpTic,Overpass,16 - 7,W
12/04/19,ESL Pro League Season 9 Europe,ex-Space Soldiers,Train,16 - 10,W
12/04/19,ESL Pro League Season 9 Europe,ex-Space Soldiers,Inferno,16 - 2,W
20/03/19,ECS Season 7 Europe Week 2,Vitality,Dust2,3 - 16,L
20/03/19,ECS Season 7 Europe Week 2,Vitality,Mirage,16 - 4,W
20/03/19,ECS Season 7 Europe Week 2,Vitality,Overpass,5 - 16,L
18/03/19,ECS Season 7 Europe Week 2,fnatic,Inferno,19 - 15,W
18/03/19,ECS Season 7 Europe Week 2,fnatic,Dust2,16 - 8,W
17/01/19,Europe Minor - IEM Katowice 2019,Valiance,Cache,8 - 16,L
17/01/19,Europe Minor - IEM Katowice 2019,Valiance,Train,12 - 16,L
17/01/19,Europe Minor - IEM Katowice 2019,OpTic,Nuke,16 - 11,W
17/01/19,Europe Minor - IEM Katowice 2019,OpTic,Train,16 - 14,W
16/01/19,Europe Minor - IEM Katowice 2019,Valiance,Mirage,14 - 16,L
12/12/18,Europe Minor Closed Qualifier - IEM Katowice 2019,Vitality,Nuke,16 - 10,W
12/12/18,Europe Minor Closed Qualifier - IEM Katowice 2019,Vitality,Mirage,16 - 14,W
12/12/18,Europe Minor Closed Qualifier - IEM Katowice 2019,Vitality,Inferno,7 - 16,L
12/12/18,Europe Minor Closed Qualifier - IEM Katowice 2019,x-kom,Mirage,16 - 11,W
12/12/18,Europe Minor Closed Qualifier - IEM Katowice 2019,x-kom,Inferno,16 - 5,W
08/12/18,ESL Pro League Season 8 Finals,Astralis,Inferno,5 - 16,L
08/12/18,ESL Pro League Season 8 Finals,Astralis,Mirage,12 - 16,L
07/12/18,ESL Pro League Season 8 Finals,Renegades,Train,16 - 9,W
07/12/18,ESL Pro League Season 8 Finals,Renegades,Mirage,16 - 14,W
07/12/18,ESL Pro League Season 8 Finals,Renegades,Cache,4 - 16,L
06/12/18,ESL Pro League Season 8 Finals,MIBR,Inferno,6 - 16,L
06/12/18,ESL Pro League Season 8 Finals,MIBR,Train,14 - 16,L
05/12/18,ESL Pro League Season 8 Finals,Natus Vincere,Train,16 - 4,W
05/12/18,ESL Pro League Season 8 Finals,Natus Vincere,Nuke,16 - 6,W
04/12/18,ESL Pro League Season 8 Finals,Ghost,Train,16 - 5,W
23/11/18,ECS Season 6 Finals,Astralis,Nuke,13 - 16,L
23/11/18,ECS Season 6 Finals,Astralis,Mirage,14 - 16,L
23/11/18,ECS Season 6 Finals,Cloud9,Mirage,16 - 7,W
23/11/18,ECS Season 6 Finals,Cloud9,Train,16 - 14,W
22/11/18,ECS Season 6 Finals,MIBR,Mirage,7 - 16,L
14/11/18,ESL Pro League Season 8 Europe,Ninjas in Pyjamas,Mirage,14 - 16,L
14/11/18,ESL Pro League Season 8 Europe,Ninjas in Pyjamas,Nuke,16 - 14,W
14/11/18,ECS Season 6 Europe,FaZe,Dust2,16 - 12,W
14/11/18,ECS Season 6 Europe,FaZe,Mirage,16 - 4,W
09/11/18,IEM Chicago 2018,Astralis,Nuke,13 - 16,L
09/11/18,IEM Chicago 2018,Astralis,Train,5 - 16,L
09/11/18,IEM Chicago 2018,Luminosity,Mirage,16 - 5,W
09/11/18,IEM Chicago 2018,Luminosity,Cache,16 - 13,W
08/11/18,IEM Chicago 2018,BIG,Train,16 - 10,W
08/11/18,IEM Chicago 2018,BIG,Dust2,16 - 10,W
07/11/18,IEM Chicago 2018,Liquid,Nuke,10 - 16,L
07/11/18,IEM Chicago 2018,Liquid,Inferno,9 - 16,L
07/11/18,IEM Chicago 2018,Liquid,Mirage,16 - 11,W
06/11/18,IEM Chicago 2018,AVANGAR,Train,16 - 5,W
01/11/18,ESL Pro League Season 8 Europe,Windigo,Cache,14 - 16,L
01/11/18,ESL Pro League Season 8 Europe,Windigo,Inferno,13 - 16,L
01/11/18,ESL Pro League Season 8 Europe,fnatic,Train,16 - 5,W
01/11/18,ESL Pro League Season 8 Europe,fnatic,Inferno,13 - 16,L
31/10/18,ESL Pro League Season 8 Europe,AGO,Inferno,10 - 16,L
31/10/18,ESL Pro League Season 8 Europe,AGO,Cache,16 - 4,W
30/10/18,ECS Season 6 Europe,North,Nuke,7 - 16,L
30/10/18,ECS Season 6 Europe,North,Inferno,16 - 6,W
30/10/18,ESL Pro League Season 8 Europe,North,Mirage,16 - 6,W
30/10/18,ESL Pro League Season 8 Europe,North,Inferno,12 - 16,L
23/10/18,ECS Season 6 Europe,Astralis,Nuke,10 - 16,L
23/10/18,ECS Season 6 Europe,Astralis,Mirage,5 - 16,L
21/10/18,ESL Pro League Season 8 Europe,HEROIC,Nuke,16 - 3,W
21/10/18,ESL Pro League Season 8 Europe,HEROIC,Train,16 - 13,W
21/10/18,ESL Pro League Season 8 Europe,FaZe,Mirage,16 - 13,W
21/10/18,ESL Pro League Season 8 Europe,FaZe,Inferno,13 - 16,L
20/10/18,ECS Season 6 Europe,fnatic,Dust2,6 - 16,L
20/10/18,ECS Season 6 Europe,fnatic,Inferno,16 - 7,W
19/10/18,ECS Season 6 Europe,Ninjas in Pyjamas,Dust2,7 - 16,L
19/10/18,ECS Season 6 Europe,Ninjas in Pyjamas,Train,16 - 7,W
19/10/18,ESL Pro League Season 8 Europe,BIG,Inferno,9 - 16,L
19/10/18,ESL Pro League Season 8 Europe,BIG,Dust2,16 - 19,L
18/10/18,ECS Season 6 Europe,OpTic,Inferno,12 - 16,L
18/10/18,ECS Season 6 Europe,OpTic,Train,16 - 12,W
17/10/18,ESL Pro League Season 8 Europe,Natus Vincere,Dust2,8 - 16,L
17/10/18,ESL Pro League Season 8 Europe,Natus Vincere,Inferno,16 - 11,W
10/10/18,StarSeries i-League Season 6,BIG,Train,17 - 19,L
10/10/18,StarSeries i-League Season 6,OpTic,Nuke,14 - 16,L
09/10/18,ECS Season 6 Europe,G2,Inferno,16 - 14,W
09/10/18,ECS Season 6 Europe,G2,Nuke,16 - 4,W
09/10/18,StarSeries i-League Season 6,ENCE,Mirage,12 - 16,L
08/10/18,StarSeries i-League Season 6,CyberZen,Nuke,16 - 1,W
07/10/18,StarSeries i-League Season 6,Sprout,Train,16 - 14,W
05/10/18,ECS Season 6 Europe,Virtus.pro,Mirage,16 - 12,W
05/10/18,ECS Season 6 Europe,Virtus.pro,Inferno,16 - 7,W
05/10/18,ESL Pro League Season 8 Europe,Astralis,Inferno,11 - 16,L
05/10/18,ESL Pro League Season 8 Europe,Astralis,Train,13 - 16,L
04/10/18,ESL Pro League Season 8 Europe,Space Soldiers,Train,16 - 9,W
04/10/18,ESL Pro League Season 8 Europe,Space Soldiers,Dust2,7 - 16,L
04/10/18,ESL Pro League Season 8 Europe,G2,Inferno,16 - 8,W
04/10/18,ESL Pro League Season 8 Europe,G2,Nuke,16 - 5,W
03/10/18,ECS Season 6 Europe,LDLC,Nuke,8 - 16,L
03/10/18,ECS Season 6 Europe,LDLC,Train,16 - 13,W
03/10/18,ESL Pro League Season 8 Europe,HellRaisers,Mirage,16 - 4,W
03/10/18,ESL Pro League Season 8 Europe,HellRaisers,Inferno,16 - 9,W
30/09/18,ESL One New York 2018,Liquid,Mirage,16 - 8,W
30/09/18,ESL One New York 2018,Liquid,Dust2,19 - 17,W
30/09/18,ESL One New York 2018,Liquid,Inferno,10 - 16,L
30/09/18,ESL One New York 2018,Liquid,Nuke,7 - 16,L
30/09/18,ESL One New York 2018,Liquid,Cache,16 - 12,W
29/09/18,ESL One New York 2018,NRG,Nuke,16 - 11,W
29/09/18,ESL One New York 2018,NRG,Inferno,16 - 12,W
27/09/18,ESL One New York 2018,Gambit,Nuke,16 - 6,W
27/09/18,ESL One New York 2018,Gambit,Dust2,16 - 11,W
27/09/18,ESL One New York 2018,Gambit,Train,11 - 16,L
26/09/18,ESL One New York 2018,fnatic,Mirage,16 - 3,W
26/09/18,ESL One New York 2018,fnatic,Train,19 - 16,W
26/09/18,ESL One New York 2018,fnatic,Inferno,12 - 16,L
14/09/18,FACEIT Major 2018,FaZe,Mirage,8 - 16,L
13/09/18,FACEIT Major 2018,MIBR,Dust2,6 - 16,L
12/09/18,FACEIT Major 2018,Ninjas in Pyjamas,Mirage,12 - 16,L
02/09/18,DreamHack Masters Stockholm 2018,North,Mirage,12 - 16,L
02/09/18,DreamHack Masters Stockholm 2018,North,Inferno,14 - 16,L
02/09/18,DreamHack Masters Stockholm 2018,North,Dust2,16 - 0,W
01/09/18,DreamHack Masters Stockholm 2018,FaZe,Train,16 - 11,W
01/09/18,DreamHack Masters Stockholm 2018,FaZe,Dust2,16 - 11,W
01/09/18,DreamHack Masters Stockholm 2018,FaZe,Cache,1 - 16,L
31/08/18,DreamHack Masters Stockholm 2018,HellRaisers,Mirage,16 - 7,W
31/08/18,DreamHack Masters Stockholm 2018,HellRaisers,Dust2,16 - 12,W
30/08/18,DreamHack Masters Stockholm 2018,MIBR,Inferno,8 - 16,L
30/08/18,DreamHack Masters Stockholm 2018,MIBR,Mirage,6 - 16,L
29/08/18,DreamHack Masters Stockholm 2018,Gambit,Nuke,16 - 7,W
28/07/18,ELEAGUE CS:GO Premier 2018,Astralis,Mirage,10 - 16,L
28/07/18,ELEAGUE CS:GO Premier 2018,Astralis,Nuke,11 - 16,L
25/07/18,ELEAGUE CS:GO Premier 2018,fnatic,Mirage,16 - 9,W
25/07/18,ELEAGUE CS:GO Premier 2018,fnatic,Train,16 - 14,W
25/07/18,ELEAGUE CS:GO Premier 2018,fnatic,Inferno,13 - 16,L
23/07/18,ELEAGUE CS:GO Premier 2018,Natus Vincere,Mirage,11 - 16,L
23/07/18,ELEAGUE CS:GO Premier 2018,Natus Vincere,Train,7 - 16,L
23/07/18,ELEAGUE CS:GO Premier 2018,Natus Vincere,Inferno,16 - 14,W
22/07/18,ELEAGUE CS:GO Premier 2018,FaZe,Mirage,16 - 13,W
22/07/18,ELEAGUE CS:GO Premier 2018,FaZe,Cache,16 - 12,W
22/07/18,ELEAGUE CS:GO Premier 2018,FaZe,Train,11 - 16,L
04/07/18,ESL One Cologne 2018,ENCE,Mirage,12 - 16,L
04/07/18,ESL One Cologne 2018,ENCE,Inferno,17 - 19,L
03/07/18,ESL One Cologne 2018,G2,Inferno,9 - 16,L
03/07/18,ESL One Cologne 2018,G2,Mirage,16 - 10,W
03/07/18,ESL One Cologne 2018,G2,Dust2,14 - 16,L
03/07/18,ESL One Cologne 2018,Gambit,Dust2,16 - 8,W
17/06/18,ESL One Belo Horizonte 2018,FaZe,Dust2,10 - 16,L
17/06/18,ESL One Belo Horizonte 2018,FaZe,Mirage,9 - 16,L
17/06/18,ESL One Belo Horizonte 2018,FaZe,Train,16 - 12,W
17/06/18,ESL One Belo Horizonte 2018,FaZe,Cache,16 - 14,W
17/06/18,ESL One Belo Horizonte 2018,FaZe,Inferno,6 - 16,L
16/06/18,ESL One Belo Horizonte 2018,SK,Train,16 - 12,W
16/06/18,ESL One Belo Horizonte 2018,SK,Dust2,16 - 7,W
14/06/18,ESL One Belo Horizonte 2018,Liquid,Train,16 - 5,W
14/06/18,ESL One Belo Horizonte 2018,Liquid,Inferno,16 - 9,W
13/06/18,ESL One Belo Horizonte 2018,Não Tem Como,Mirage,16 - 12,W
13/06/18,ESL One Belo Horizonte 2018,Não Tem Como,Train,16 - 3,W
03/06/18,StarSeries i-League Season 5,Natus Vincere,Nuke,8 - 16,L
03/06/18,StarSeries i-League Season 5,Natus Vincere,Mirage,12 - 16,L
03/06/18,StarSeries i-League Season 5,Natus Vincere,Inferno,16 - 7,W
02/06/18,StarSeries i-League Season 5,Ninjas in Pyjamas,Nuke,16 - 9,W
02/06/18,StarSeries i-League Season 5,Ninjas in Pyjamas,Inferno,16 - 11,W
02/06/18,StarSeries i-League Season 5,Ninjas in Pyjamas,Mirage,9 - 16,L
31/05/18,StarSeries i-League Season 5,Natus Vincere,Train,16 - 9,W
31/05/18,StarSeries i-League Season 5,Natus Vincere,Nuke,2 - 16,L
31/05/18,StarSeries i-League Season 5,Natus Vincere,Mirage,16 - 5,W
30/05/18,StarSeries i-League Season 5,AGO,Inferno,9 - 16,L
30/05/18,StarSeries i-League Season 5,AGO,Train,16 - 13,W
30/05/18,StarSeries i-League Season 5,AGO,Mirage,8 - 16,L
29/05/18,StarSeries i-League Season 5,TYLOO,Inferno,16 - 8,W
29/05/18,StarSeries i-League Season 5,TYLOO,Train,16 - 7,W
28/05/18,StarSeries i-League Season 5,North,Train,16 - 12,W
28/05/18,StarSeries i-League Season 5,North,Mirage,7 - 16,L
28/05/18,StarSeries i-League Season 5,North,Dust2,19 - 16,W
18/05/18,ESL Pro League Season 7 Finals,Liquid,Dust2,4 - 16,L
18/05/18,ESL Pro League Season 7 Finals,Liquid,Mirage,20 - 22,L
17/05/18,ESL Pro League Season 7 Finals,HEROIC,Mirage,16 - 14,W
17/05/18,ESL Pro League Season 7 Finals,HEROIC,Cache,16 - 9,W
16/05/18,ESL Pro League Season 7 Finals,NRG,Nuke,16 - 10,W
16/05/18,ESL Pro League Season 7 Finals,NRG,Cache,16 - 14,W
15/05/18,ESL Pro League Season 7 Finals,FaZe,Mirage,4 - 16,L
15/05/18,ESL Pro League Season 7 Finals,FaZe,Overpass,14 - 16,L
15/05/18,ESL Pro League Season 7 Finals,Sharks,Inferno,16 - 10,W
09/05/18,ECS Season 5 Europe,Gambit,Train,17 - 19,L
09/05/18,ECS Season 5 Europe,Gambit,Mirage,14 - 16,L
09/05/18,ECS Season 5 Europe,G2,Inferno,16 - 11,W
09/05/18,ECS Season 5 Europe,G2,Cache,7 - 16,L
05/05/18,IEM Sydney 2018,Astralis,Cache,5 - 16,L
05/05/18,IEM Sydney 2018,Astralis,Inferno,19 - 17,W
05/05/18,IEM Sydney 2018,Astralis,Dust2,3 - 16,L
04/05/18,IEM Sydney 2018,Renegades,Train,19 - 15,W
04/05/18,IEM Sydney 2018,Renegades,Inferno,23 - 25,L
04/05/18,IEM Sydney 2018,Renegades,Mirage,16 - 7,W
03/05/18,IEM Sydney 2018,G2,Mirage,16 - 9,W
03/05/18,IEM Sydney 2018,G2,Dust2,16 - 9,W
03/05/18,IEM Sydney 2018,MVP PK,Mirage,16 - 4,W
03/05/18,IEM Sydney 2018,MVP PK,Inferno,16 - 12,W
02/05/18,IEM Sydney 2018,Astralis,Nuke,5 - 16,L
02/05/18,IEM Sydney 2018,Astralis,Inferno,9 - 16,L
01/05/18,IEM Sydney 2018,BOOT-d[S],Mirage,16 - 6,W
26/04/18,ESL Pro League Season 7 Europe,Envy,Overpass,16 - 13,W
26/04/18,ESL Pro League Season 7 Europe,Envy,Cobblestone,16 - 11,W
25/04/18,ECS Season 5 Europe,Ninjas in Pyjamas,Train,9 - 16,L
25/04/18,ECS Season 5 Europe,Ninjas in Pyjamas,Inferno,17 - 19,L
24/04/18,ESL Pro League Season 7 Europe,Space Soldiers,Inferno,16 - 11,W
24/04/18,ESL Pro League Season 7 Europe,Space Soldiers,Mirage,16 - 14,W
21/04/18,DreamHack Masters Marseille 2018,Natus Vincere,Inferno,16 - 19,L
21/04/18,DreamHack Masters Marseille 2018,Natus Vincere,Mirage,9 - 16,L
20/04/18,DreamHack Masters Marseille 2018,SK,Mirage,16 - 6,W
20/04/18,DreamHack Masters Marseille 2018,SK,Cache,16 - 10,W
19/04/18,DreamHack Masters Marseille 2018,Ninjas in Pyjamas,Train,11 - 16,L
19/04/18,DreamHack Masters Marseille 2018,Ninjas in Pyjamas,Overpass,10 - 16,L
19/04/18,DreamHack Masters Marseille 2018,Ninjas in Pyjamas,Nuke,16 - 9,W
18/04/18,DreamHack Masters Marseille 2018,Valiance,Mirage,16 - 13,W
12/04/18,ECS Season 5 Europe,Virtus.pro,Inferno,16 - 3,W
12/04/18,ECS Season 5 Europe,Virtus.pro,Train,16 - 10,W
10/04/18,ESL Pro League Season 7 Europe,Natus Vincere,Nuke,16 - 11,W
10/04/18,ESL Pro League Season 7 Europe,Natus Vincere,Inferno,5 - 16,L
08/04/18,ECS Season 5 Europe,Astralis,Overpass,7 - 16,L
08/04/18,ECS Season 5 Europe,Astralis,Mirage,16 - 14,W
06/04/18,ECS Season 5 Europe,fnatic,Cobblestone,13 - 16,L
06/04/18,ECS Season 5 Europe,fnatic,Overpass,16 - 8,W
05/04/18,ESL Pro League Season 7 Europe,AGO,Inferno,16 - 14,W
05/04/18,ESL Pro League Season 7 Europe,AGO,Cobblestone,14 - 16,L
04/04/18,ESL Pro League Season 7 Europe,LDLC,Nuke,19 - 17,W
04/04/18,ESL Pro League Season 7 Europe,LDLC,Cobblestone,16 - 13,W
04/04/18,ECS Season 5 Europe,GODSENT,Cobblestone,7 - 16,L
04/04/18,ECS Season 5 Europe,GODSENT,Mirage,16 - 9,W
03/04/18,ECS Season 5 Europe,Envy,Nuke,16 - 2,W
03/04/18,ECS Season 5 Europe,Envy,Train,22 - 25,L
03/04/18,ESL Pro League Season 7 Europe,HellRaisers,Cobblestone,7 - 16,L
03/04/18,ESL Pro League Season 7 Europe,HellRaisers,Mirage,16 - 4,W
25/03/18,V4 Future Sports Festival 2018,Virtus.pro,Train,16 - 14,W
25/03/18,V4 Future Sports Festival 2018,Virtus.pro,Cobblestone,2 - 16,L
25/03/18,V4 Future Sports Festival 2018,Virtus.pro,Mirage,16 - 8,W
25/03/18,V4 Future Sports Festival 2018,HellRaisers,Cobblestone,16 - 13,W
25/03/18,V4 Future Sports Festival 2018,HellRaisers,Mirage,16 - 14,W
23/03/18,V4 Future Sports Festival 2018,eXtatus,Overpass,16 - 14,W
23/03/18,V4 Future Sports Festival 2018,eXtatus,Train,16 - 11,W
23/03/18,V4 Future Sports Festival 2018,Virtus.pro,Train,13 - 16,L
23/03/18,V4 Future Sports Festival 2018,Virtus.pro,Nuke,16 - 1,W
23/03/18,V4 Future Sports Festival 2018,x-kom,Mirage,16 - 9,W
23/03/18,V4 Future Sports Festival 2018,x-kom,Train,16 - 9,W
15/03/18,ESL Pro League Season 7 Europe,HEROIC,Cobblestone,14 - 16,L
15/03/18,ESL Pro League Season 7 Europe,HEROIC,Inferno,16 - 5,W
15/03/18,ECS Season 5 Europe,FaZe,Mirage,2 - 16,L
15/03/18,ECS Season 5 Europe,FaZe,Inferno,10 - 16,L
14/03/18,ESL Pro League Season 7 Europe,Ninjas in Pyjamas,Train,12 - 16,L
14/03/18,ESL Pro League Season 7 Europe,Ninjas in Pyjamas,Mirage,16 - 8,W
14/03/18,ESL Pro League Season 7 Europe,G2,Nuke,4 - 16,L
14/03/18,ESL Pro League Season 7 Europe,G2,Inferno,19 - 17,W
13/03/18,ESL Pro League Season 7 Europe,FaZe,Inferno,16 - 12,W
13/03/18,ESL Pro League Season 7 Europe,FaZe,Mirage,16 - 10,W
06/03/18,ESL Pro League Season 7 Europe,North,Train,13 - 16,L
06/03/18,ESL Pro League Season 7 Europe,North,Inferno,16 - 8,W
25/02/18,StarSeries i-League Season 4,Natus Vincere,Train,16 - 9,W
25/02/18,StarSeries i-League Season 4,Natus Vincere,Mirage,22 - 18,W
25/02/18,StarSeries i-League Season 4,Natus Vincere,Overpass,7 - 16,L
24/02/18,StarSeries i-League Season 4,Liquid,Train,16 - 9,W
24/02/18,StarSeries i-League Season 4,Liquid,Cobblestone,4 - 16,L
24/02/18,StarSeries i-League Season 4,Liquid,Mirage,16 - 7,W
23/02/18,StarSeries i-League Season 4,G2,Mirage,16 - 11,W
23/02/18,StarSeries i-League Season 4,G2,Inferno,16 - 7,W
21/02/18,StarSeries i-League Season 4,Cloud9,Train,19 - 16,W
21/02/18,StarSeries i-League Season 4,Cloud9,Mirage,16 - 14,W
20/02/18,StarSeries i-League Season 4,Liquid,Inferno,12 - 16,L
20/02/18,StarSeries i-League Season 4,Liquid,Mirage,11 - 16,L
20/02/18,StarSeries i-League Season 4,Liquid,Train,19 - 17,W
19/02/18,StarSeries i-League Season 4,G2,Cobblestone,12 - 16,L
19/02/18,StarSeries i-League Season 4,G2,Inferno,15 - 19,L
19/02/18,StarSeries i-League Season 4,G2,Mirage,16 - 2,W
18/02/18,StarSeries i-League Season 4,SK,Inferno,16 - 10,W
18/02/18,StarSeries i-League Season 4,SK,Cobblestone,11 - 16,L
18/02/18,StarSeries i-League Season 4,SK,Mirage,16 - 14,W
17/02/18,StarSeries i-League Season 4,Virtus.pro,Mirage,16 - 9,W
17/02/18,StarSeries i-League Season 4,Virtus.pro,Inferno,16 - 7,W
17/02/18,StarSeries i-League Season 4,Virtus.pro,Cobblestone,18 - 22,L
14/02/18,ESL Pro League Season 7 Europe,Astralis,Inferno,14 - 16,L
14/02/18,ESL Pro League Season 7 Europe,Astralis,Mirage,16 - 9,W
13/02/18,ESL Pro League Season 7 Europe,fnatic,Overpass,16 - 11,W
13/02/18,ESL Pro League Season 7 Europe,fnatic,Mirage,16 - 7,W
10/02/18,Farmskins Championship #2 - IEM Katowice 2018 Qualifier,AVANGAR,Train,14 - 16,L
10/02/18,Farmskins Championship #2 - IEM Katowice 2018 Qualifier,AVANGAR,Mirage,7 - 16,L
10/02/18,Farmskins Championship #2 - IEM Katowice 2018 Qualifier,AVANGAR,Cobblestone,16 - 13,W
07/02/18,Farmskins Championship #2 - IEM Katowice 2018 Qualifier,MANS NOT HOT,Mirage,16 - 12,W
07/02/18,Farmskins Championship #2 - IEM Katowice 2018 Qualifier,MANS NOT HOT,Overpass,16 - 6,W
04/02/18,IEM Katowice 2018 Europe Closed Qualifier,Gambit,Overpass,13 - 16,L
04/02/18,IEM Katowice 2018 Europe Closed Qualifier,Gambit,Cobblestone,11 - 16,L
04/02/18,IEM Katowice 2018 Europe Closed Qualifier,Gambit,Train,16 - 10,W
04/02/18,IEM Katowice 2018 Europe Closed Qualifier,Epsilon,Overpass,16 - 8,W
04/02/18,IEM Katowice 2018 Europe Closed Qualifier,Epsilon,Mirage,16 - 11,W
04/02/18,IEM Katowice 2018 Europe Closed Qualifier,Epsilon,Cobblestone,14 - 16,L
03/02/18,IEM Katowice 2018 Europe Closed Qualifier,BIG,Mirage,16 - 4,W
03/02/18,IEM Katowice 2018 Europe Closed Qualifier,BIG,Cobblestone,16 - 1,W
03/02/18,IEM Katowice 2018 Europe Closed Qualifier,HellRaisers,Cobblestone,10 - 16,L
